,Dates,Median Sentiment
29,10/19/2020,0.41338032484054565
28,10/20/2020,0.21338050067424774
27,10/21/2020,0.9830167889595032
26,10/22/2020,0.9883418083190918
25,10/23/2020,0.6597442030906677
24,10/24/2020,0.8150239288806915
23,10/25/2020,0.8403899669647217
22,10/26/2020,0.9397591948509216
21,10/27/2020,0.9694585800170898
20,10/28/2020,0.7928081750869751
19,10/29/2020,0.8187664747238159
18,10/30/2020,0.9694914817810059
17,10/31/2020,0.9694914817810059
16,11/01/2020,0.9462249279022217
15,11/02/2020,0.942186713218689
14,11/03/2020,0.8704631924629211
13,11/04/2020,0.8348175883293152
12,11/05/2020,0.4798527657985687
11,11/06/2020,0.8727972507476807
10,11/07/2020,0.4402433782815933
9,11/08/2020,0.7889693379402161
8,11/09/2020,0.9814781844615936
7,11/10/2020,0.827116996049881
6,11/11/2020,0.9688246250152588
5,11/12/2020,0.9280467629432678
4,11/13/2020,0.9962869882583618
3,11/14/2020,0.8760326504707336
2,11/15/2020,0.9544094800949097
1,11/16/2020,0.9431056380271912
0,11/17/2020,0.9819415807723999
