,Dates,Median Sentiment
29,10/20/2020,0.6792780160903931
28,10/21/2020,0.7715948820114136
27,10/22/2020,0.9669580161571503
26,10/23/2020,0.9440746307373047
25,10/24/2020,0.990373283624649
24,10/25/2020,0.5577932596206665
23,10/26/2020,0.9956384897232056
22,10/27/2020,0.9971514940261841
21,10/28/2020,0.9967107772827148
20,10/29/2020,0.8189880847930908
19,10/30/2020,0.9853395223617554
18,10/31/2020,0.9992051124572754
17,11/01/2020,0.9757014513015747
16,11/02/2020,0.993741512298584
15,11/03/2020,0.9746174812316895
14,11/04/2020,0.9417101144790649
13,11/05/2020,0.9088062047958374
12,11/06/2020,0.9741485714912415
11,11/07/2020,0.9821751117706299
10,11/08/2020,0.9955599308013916
9,11/09/2020,0.9925878047943115
8,11/10/2020,0.9720802903175354
7,11/11/2020,0.9158708453178406
6,11/12/2020,0.9913967847824097
5,11/13/2020,0.9322567582130432
4,11/14/2020,0.9951518774032593
3,11/15/2020,0.9991025924682617
2,11/16/2020,0.9695963859558105
1,11/17/2020,0.991028904914856
0,11/18/2020,0.8213956952095032
