,Dates,Median Sentiment
29,10/19/2020,0.6463901996612549
28,10/20/2020,0.8928073346614838
27,10/21/2020,0.986361026763916
26,10/22/2020,0.9958266317844391
25,10/23/2020,0.9945187866687775
24,10/24/2020,0.9604403078556061
23,10/25/2020,0.9872519075870514
22,10/26/2020,0.8960078954696655
21,10/27/2020,0.8427636623382568
20,10/28/2020,0.9955388307571411
19,10/29/2020,0.8214731812477112
18,10/30/2020,0.988884449005127
17,10/31/2020,0.7750228643417358
16,11/01/2020,0.9964728057384491
15,11/02/2020,0.9913803339004517
14,11/03/2020,0.9689317941665649
13,11/04/2020,0.9362648725509644
12,11/05/2020,0.8888254165649414
11,11/06/2020,0.9877525568008423
10,11/07/2020,0.9368459284305573
9,11/08/2020,0.9596504867076874
8,11/09/2020,0.9979190826416016
7,11/10/2020,0.9968726634979248
6,11/11/2020,0.9505709409713745
5,11/12/2020,0.9966126680374146
4,11/13/2020,0.9976779222488403
3,11/14/2020,0.9971970915794373
2,11/15/2020,0.9772107005119324
1,11/16/2020,0.6055762320756912
0,11/17/2020,0.9714009165763855
