,Dates,Median Sentiment
29,10/20/2020,0.616677463054657
28,10/21/2020,0.9414972066879272
27,10/22/2020,0.2569955438375473
26,10/23/2020,0.9924947619438171
25,10/24/2020,0.9952252507209778
24,10/25/2020,0.9952252507209778
23,10/26/2020,0.9796454906463623
22,10/27/2020,0.9874455630779266
21,10/28/2020,0.995245635509491
20,10/29/2020,0.989108145236969
19,10/30/2020,0.9821685254573822
18,10/31/2020,0.9884440898895264
17,11/01/2020,0.9899498224258423
16,11/02/2020,0.9923304319381714
15,11/03/2020,0.9950171113014221
14,11/04/2020,0.9662426710128784
13,11/05/2020,0.573919951915741
12,11/06/2020,0.9757415056228638
11,11/07/2020,0.9968760013580322
10,11/08/2020,0.995245635509491
9,11/09/2020,0.9453079700469971
8,11/10/2020,0.9982640743255615
7,11/11/2020,0.9186644554138184
6,11/12/2020,0.9943064451217651
5,11/13/2020,0.9959996938705444
4,11/14/2020,0.9959996938705444
3,11/15/2020,0.9961151480674744
2,11/16/2020,0.9712283611297607
1,11/17/2020,0.9712283611297607
0,11/18/2020,0.975445032119751
